source,query,title,year,venue,citation_count,relevance_score,include_guess,doi,paper_url,semantic_open_pdf,pdf_url,pdf_file,download_status,is_open_access,abstract,label
Google Scholar (SerpAPI),"""interaction analysis"" video visualization qualitative",A case study using visualization interaction logs and insight metrics to understand how analysts arrive at insights,2016,"Hua Guo, Steven R. Gomez, Caroline Ziemkiewicz, David H. Laidlaw - IEEE Transactions on Visualization and Computer Graphics",155,27,Exclude,10.1109/tvcg.2015.2467613,https://ieeexplore.ieee.org/abstract/document/7192662/,,,/Users/zezhongwang/Downloads/VIS-Method/papers/A Case Study Using Visualization Interaction Logs and Insight Metrics to Understand How Analysts Arrive at Insights.pdf,downloaded,False,"… these findings using a qualitative analysis of video captured during the user … the qualitative review. In Section 3, we describe the quantitative and qualitative stages of interaction analysis…",Keyword-26Mar14
Google Scholar (SerpAPI),"""interaction analysis"" video visualization qualitative",Turn charts for interaction analysis: Visually mapping the conversation floor,2024,"Benjamin R. Shapiro, Rogers Hall, Arpit Mathur, Edwin Zhao - Proceedings of the International Conference of the Learning Sciences",5,27,Include,10.22318/icls2024.311167,https://repository.isls.org/handle/1/11121,,https://repository.isls.org/bitstream/1/11121/1/ICLS2024_43-50.pdf,/Users/zezhongwang/Downloads/VIS-Method/papers/2024 - Turn charts for interaction analysis_ Visually mapping the conversation floor.pdf,downloaded,True,… visualization platform that will also share several other kinds of qualitative transcription and visualization … This platform will allow researchers and practitioners to load video and/or …,Keyword-26Mar14
Google Scholar (SerpAPI),"""interaction analysis"" video visualization qualitative",Interactive transcription techniques for interaction analysis,2022,"A Mathur, BR Shapiro - … of the 16th International Conference of …, 2022 - repository.isls.org",3,27,Include,,https://repository.isls.org/handle/1/8993,,https://repository.isls.org/bitstream/1/8993/1/ICLS2022_19-26.pdf,/Users/zezhongwang/Downloads/VIS-Method/papers/2022 - Interactive transcription techniques for interaction analysis.pdf,downloaded,True,"… interaction analysis as well as relevant visualization theories. Subsequently, we describe the video … as well as our recent efforts to expand alternative visualization theories for qualitative …",Keyword-26Mar14
Google Scholar (SerpAPI),"""interaction analysis"" video visualization qualitative",Exploratory visual analysis of transcripts for interaction analysis in human-computer interaction,2025,"Ben Rydal Shapiro, Rogers Hall, Arpit Mathur, Edwin Zhao - Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems",2,27,Include,10.1145/3706598.3713490,https://dl.acm.org/doi/abs/10.1145/3706598.3713490,,,/Users/zezhongwang/Downloads/VIS-Method/papers/Exploratory Visual Analysis of Transcripts for Interaction Analysis in Human-Computer Interaction.pdf,downloaded,False,"… visualization system that integrates three visualization techniques we have developed to interactively visualize transcripts linked to videos: … Second, we present fndings from a qualitative …",Keyword-26Mar14
Google Scholar (SerpAPI),"""interaction analysis"" video visualization qualitative",Visualization as theory and experience: interactive qualitative data visualization for the learning sciences,2025,"BR Shapiro, D Silvis, R Hall - Journal of the Learning Sciences, 2025 - Taylor & Francis",2,27,Include,,https://www.tandfonline.com/doi/abs/10.1080/10508406.2025.2537945,,,/Users/zezhongwang/Downloads/VIS-Method/papers/Visualization as theory and experience  interactive qualitative data visualization for the learning sciences.pdf,downloaded,False,… visualization tools we designed to support IA that offer different framings of video as qualitative … characterize how these interactive visualizations advance interaction analysis (IA) by (1) …,Keyword-26Mar14
Google Scholar (SerpAPI),"""interaction analysis"" video visualization qualitative",Qualitative analysis of visualization: A building design field study,2008,"Melanie Tory, Sheryl Staub-French - Proceedings of the 2008 Workshop on BEyond time and errors: novel evaLuation methods for Information Visualization",61,25,Exclude,10.1145/1377966.1377975,https://dl.acm.org/doi/abs/10.1145/1377966.1377975,,,/Users/zezhongwang/Downloads/VIS-Method/papers/2008 - Qualitative analysis of visualization_ A building design field study.pdf,downloaded,False,… [19] used an open-coding approach to video analysis to identify collaboration strategies with map and network visualizations. Our current study uses similar qualitative video analysis …,Keyword-26Mar14
Google Scholar (SerpAPI),"""interaction analysis"" video visualization qualitative",Explanatory Videos in the Context of Learning Processes: An Interdisciplinary Interpretative Interaction Analysis of Production and Reflection Processes.,2024,"TE Kuzu, C Ratzke - Journal of Pedagogical Research, 2024 - ERIC",8,23,Exclude,,https://eric.ed.gov/?id=EJ1427927,,https://files.eric.ed.gov/fulltext/EJ1427927.pdf,/Users/zezhongwang/Downloads/VIS-Method/papers/2024 - Explanatory Videos in the Context of Learning Processes_ An Interdisciplinary Interpretative Interaction Analysis of Production and Reflection Processes..pdf,downloaded,True,"… and an interpretative qualitative research design, teachers’ reflections of explanatory videos … In Figure 2, the method of interpretative Interaction analysis is visualized with references to …",Keyword-26Mar14
Google Scholar (SerpAPI),"""interaction analysis"" video visualization qualitative",Giant: Visualizing group interaction at large wall displays,2017,"Ulrich von Zadow, Raimund Dachselt - Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems",23,22,Include,10.1145/3025453.3026006,https://dl.acm.org/doi/abs/10.1145/3025453.3026006,,,/Users/zezhongwang/Downloads/VIS-Method/papers/GIAnT Visualizing Group Interaction at Large Wall Displays.pdf,downloaded,False,"… Group Interaction Analysis Toolkit GIAnT, which provides a rich set of visualizations supporting … -up, we could have used additional targeted video coding, eg, to gather quantitative data. …",Keyword-26Mar14
Google Scholar (SerpAPI),"video ""temporal visualization"" action sequence qualitative","What HappenedHere!?"" Towards a Taxonomy for User Interaction with Spatio-Temporal Game Data Visualization.",2021,"E Kleinman, N Preetham - CHI Play, 2021 - par.nsf.gov",1,21,Maybe,,https://par.nsf.gov/biblio/10291132,,,/Users/zezhongwang/Downloads/VIS-Method/papers/2021 - What HappenedHere!__ Towards a Taxonomy for User Interaction with Spatio-Temporal Game Data Visualization..pdf,downloaded,True,… a qualitative user study (n=7) in which experienced players were tasked with using a spatio-temporal visualization … Audio and screen video from think-aloud sessions were recorded …,Keyword-26Mar14
Google Scholar (SerpAPI),"video ""temporal visualization"" action sequence qualitative",Situated spatio-temporal visual analytics,2023,FS Alallah - 2023 - mspace.lib.umanitoba.ca,0,21,Include,,https://mspace.lib.umanitoba.ca/bitstream/handle/1993/37106/Alallah_Fouad.pdf?sequence=1,,https://mspace.lib.umanitoba.ca/bitstream/handle/1993/37106/Alallah_Fouad.pdf?sequence=1,/Users/zezhongwang/Downloads/VIS-Method/papers/2023 - Situated spatio-temporal visual analytics.pdf,downloaded,True,"… The result of playing the video in sequential analysis mode in (… , we quantitatively and qualitatively record user interactions … spatiotemporal visualization techniques will be presented. …",Keyword-26Mar14
